Height,sib,Countries visited,Hours of Sleep,Apps,Facebook Friends
154,2,20,7,30,1200
173,2,32,6.5,6,666
160,3,5,7,20,0
156,2,15,7.5,20,1000
160,5,2,7,30,220
160,3,10,6,15,1000
169,2,11,6,39,451
163,4,11,7,70,1200
160,5,3,8,43,727
159,5,3,7,44,357
168,3,1,7,32,531
173,3,22,7,20,325
190,4,3,7,36,300
183,3,8,9,56,545
170,2,8,6.5,10,1500
172,6,4,7,28,84
160,3,13,7,25,1056
181,3,9,7,25,500
155,3,10,6,80,750
203,3,8,7,23,1078
158,5,0,7,4,300
168,3,15,7,5,1000
179,5,3,7,6,230
179,4,8,8,38,472
168,4,1,5,47,300
165,4,21,6,10,150
167,3,3,7,15,450
170,4,14,7,15,400
156,3,10,8,10,1722
160,3,12,7,35,1000
158,3,15,8,31,765
182,4,1,9,8,245
176,2,15,7,20,1000
173,2,4,7,5,450
163,2,3,4,7,175
170,4,16,7,17,1036
178,2,10,7.5,20,700
157,3,10,7,27,969
164,4,10,6,40,679
157,4,6,7,91,0
153,3,10,8,20,500
160,3,8,8,10,923
160,3,14,4,23,50
170,3,18,6,34,717
165,2,5,8,15,500
165,3,13,7,5,450
171,4,3,7,15,250
178,3,21,7,95,1164
167,5,15,7,84,363
160,3,7,7,70,2012
164,4,16,7,15,883
162,5,15,6,20,388
188,5,6,6.5,47,520
157,3,2,6,72,600
162,2,20,8,44,1123
150,2,8,6,9,174
152,4,7,8,25,198
165,4,7,7,20,400
164,7,3,6,23,0
173,4,11,8,40,254
196,7,5,9,5,550
154,2,28,6,24,800
175,4,16,8,50,1072
172,5,6,6,20,450
152,2,10,7,100,600
159,2,8,6,15,1000
155,3,10,6,20,300
185,1,8,7,30,0
161,4,10,8,20,530
165,3,27,8,52,957
184,4,8,7,10,240
171,2,15,7,70,1100
158,6,5,7,45,984
160,4,8,6.5,15,386
165,3,6,7,7,1180
167,4,14,7,35,635
163,3,14,6,15,1033
172,4,20,5,60,1838
167,5,6,10,7,2000
173,3,30,7,10,1103
180,2,10,8,50,300
160,2,12,7,37,650
157,4,18,6,22,800
173,2,10,7,25,1700
174,4,25,8,15,1040
167,3,6,8,25,1050
159,2,15,8,25,2459
162,4,20,8,20,430
181,3,23,7,20,815
160,3,15,8,50,2300
168,3,15,5,50,754
178,3,15,8,80,692
170,3,11,9,20,500
160,4,14,6.5,78,666
175,4,6,7,19,250
170,1,19,9,25,400
169,3,18,8,6,1254
170,0,7,6,16,0
160,3,16,7,78,1521
162,3,14,8,14,650
182,3,8,7,30,201
170,4,14,7,15,1107
156,7,0,7,30,200
163,2,35,7,100,2872
180,2,15,6,20,234
158,6,1,6,40,0
156,2,4,6,6,1060
175,2,9,6,15,150
157.5,3,20,7,88,1250
167,4,25,8,5,700
163,3,18,8,38,76
156,3,15,6,7,1130
154,4,15,7,7,1033
178,3,15,8,15,1500
175,3,12,8,8,200
160,5,1,6,50,0
173,3,10,7,37,700
160,4,1,8,20,300
178,5,9,7,25,1500
158,2,20,6,72,1601
147,10,8,8,20,800
160,3,30,8,11,1000
152,3,8,8,10,1040
168,5,8,6,30,527
168,3,11,7.5,31,606
172,4,9,5,12,670
180,3,14,6,2,614
160,3,20,7,35,1500
220,14,96,4,80,1628
178,2,18,6.5,60,1083
162,4,3,8,70,0
152,1,2,7,20,200
171,5,37,7,18,1100
155,5,0,5,37,0
164,3,14,8,20,1152
165,2,14,8,47,909
162,3,10,5,12,489
165,3,11,8,23,1020
160,4,10,9,130,1300
163,3,6,5,4,700
165,4,11,6,25,500
